order_id,order_date,supplier_reliability_score,warehouse_inventory_level,order_quantity,shipping_distance_km,shipping_method,weather_condition,processing_time_hours,order_priority,delayed
52,2023-01-03 03:00:00,0.77,3285,492,1833.3,Air,Fog,68.4,Medium,0
53,2023-01-03 04:00:00,0.85,2374,185,1906.6,Road,Fog,14.2,High,1
54,2023-01-03 05:00:00,0.81,2889,410,691.9,Road,Storm,10.8,Low,0
55,2023-01-03 06:00:00,0.77,2967,14,485.5,Road,Storm,28.9,High,0
56,2023-01-03 07:00:00,0.6,4363,293,737.1,Road,Fog,36.2,High,0
57,2023-01-03 08:00:00,0.64,3305,79,490.3,Sea,Fog,6.4,Low,0
58,2023-01-03 09:00:00,0.88,3799,183,1718.7,Air,Clear,51.7,Low,0
59,2023-01-03 10:00:00,0.81,2799,83,170.5,Road,Clear,41.9,Low,0
60,2023-01-03 11:00:00,0.88,650,181,1524.2,Road,Storm,6.2,High,1
61,2023-01-03 12:00:00,0.98,843,442,1004.2,Road,Fog,60.2,Low,0
62,2023-01-03 13:00:00,0.87,1948,346,1850.5,Air,Storm,5.8,Medium,1
63,2023-01-03 14:00:00,0.62,140,208,1510.5,Air,Clear,34.7,High,1
64,2023-01-03 15:00:00,0.72,2098,112,900.3,Sea,Storm,31.9,Medium,0
65,2023-01-03 16:00:00,0.84,1317,131,23.0,Road,Storm,36.9,Medium,1
66,2023-01-03 17:00:00,0.69,566,476,1884.2,Road,Clear,47.1,High,0
67,2023-01-03 18:00:00,0.99,4058,73,1467.8,Rail,Rain,61.5,Low,1
68,2023-01-03 19:00:00,0.98,2727,260,897.5,Rail,Fog,71.2,High,1
69,2023-01-03 20:00:00,0.94,4673,143,255.1,Sea,Rain,57.6,Low,1
70,2023-01-03 21:00:00,0.79,871,257,918.6,Road,Clear,27.0,Low,0
71,2023-01-03 22:00:00,0.94,2836,270,1278.6,Air,Storm,59.8,Medium,0
72,2023-01-03 23:00:00,0.65,3693,177,287.5,Air,Clear,34.9,Low,0
73,2023-01-04 00:00:00,0.72,1119,99,877.9,Air,Fog,19.9,Low,1
74,2023-01-04 01:00:00,0.79,66,136,564.3,Sea,Clear,26.3,Medium,0
75,2023-01-04 02:00:00,0.9,4279,134,631.0,Sea,Rain,36.7,Low,0
76,2023-01-04 03:00:00,0.79,3592,164,906.2,Sea,Fog,9.4,Low,1
77,2023-01-04 04:00:00,0.65,3857,270,1314.0,Air,Rain,17.3,High,0
78,2023-01-04 05:00:00,0.74,2378,230,1460.7,Sea,Rain,41.1,Medium,0
79,2023-01-04 06:00:00,0.73,3598,306,1659.3,Sea,Fog,44.8,High,0
80,2023-01-04 07:00:00,0.72,1241,2,1099.0,Rail,Rain,18.5,High,0
81,2023-01-04 08:00:00,0.67,269,227,1543.7,Rail,Storm,40.9,High,0
82,2023-01-04 09:00:00,0.77,587,252,1634.3,Road,Fog,10.9,Low,0
83,2023-01-04 10:00:00,0.78,1085,253,1164.9,Air,Fog,3.5,Medium,0
84,2023-01-04 11:00:00,0.91,1522,493,1799.5,Sea,Fog,17.9,Medium,0
85,2023-01-04 12:00:00,0.92,879,450,1801.1,Sea,Rain,36.5,High,0
86,2023-01-04 13:00:00,0.81,753,472,1359.8,Road,Fog,22.3,Medium,1
87,2023-01-04 14:00:00,0.78,2746,283,1591.5,Air,Fog,42.8,High,0
88,2023-01-04 15:00:00,0.91,2802,285,732.6,Air,Clear,66.7,High,0
89,2023-01-04 16:00:00,0.95,2256,400,1064.5,Air,Storm,53.0,Medium,0
90,2023-01-04 17:00:00,0.87,3442,180,819.0,Sea,Fog,47.9,Low,0
91,2023-01-04 18:00:00,0.92,2117,58,942.1,Road,Fog,19.9,Low,0
92,2023-01-04 19:00:00,0.98,864,61,1467.8,Rail,Fog,10.2,High,0
93,2023-01-04 20:00:00,0.62,4681,388,443.4,Road,Fog,2.1,Low,0
94,2023-01-04 21:00:00,0.95,3091,174,677.3,Air,Clear,71.3,High,0
95,2023-01-04 22:00:00,0.71,2594,111,126.3,Sea,Fog,29.6,Medium,0
96,2023-01-04 23:00:00,0.79,4825,237,1170.4,Road,Clear,11.5,Low,0
97,2023-01-05 00:00:00,0.92,2591,386,1817.4,Air,Fog,16.6,High,0
98,2023-01-05 01:00:00,0.89,3212,232,935.4,Road,Fog,41.1,High,1
99,2023-01-05 02:00:00,0.66,564,282,1591.6,Road,Rain,56.0,Low,1
100,2023-01-05 03:00:00,0.86,1289,291,817.3,Air,Rain,24.1,Low,1
101,2023-01-05 04:00:00,0.63,1826,86,1905.7,Road,Fog,67.0,Medium,0
102,2023-01-05 05:00:00,0.74,4940,20,1321.4,Sea,Fog,36.0,High,1
103,2023-01-05 06:00:00,0.93,3371,13,1130.5,Rail,Fog,71.8,Low,1
104,2023-01-05 07:00:00,0.77,450,316,1016.4,Air,Rain,63.9,Medium,0
105,2023-01-05 08:00:00,0.84,3594,280,1188.9,Rail,Rain,22.6,Medium,1
106,2023-01-05 09:00:00,0.89,3152,357,1560.3,Sea,Rain,10.8,Low,0
107,2023-01-05 10:00:00,0.93,3401,382,1890.3,Sea,Rain,56.8,High,0
108,2023-01-05 11:00:00,0.9,1377,56,769.7,Rail,Storm,52.1,High,0
109,2023-01-05 12:00:00,0.6,649,18,409.3,Sea,Fog,17.3,High,0
110,2023-01-05 13:00:00,0.77,3114,310,1522.0,Road,Rain,69.0,Low,0
111,2023-01-05 14:00:00,0.79,2369,298,41.3,Rail,Rain,25.0,Medium,0
112,2023-01-05 15:00:00,0.62,1256,241,191.9,Road,Clear,31.0,Medium,0
113,2023-01-05 16:00:00,0.82,2789,38,1642.4,Air,Fog,18.4,High,1
114,2023-01-05 17:00:00,0.84,512,297,381.6,Rail,Fog,12.0,High,0
115,2023-01-05 18:00:00,0.93,784,309,353.6,Road,Rain,33.6,Low,0
116,2023-01-05 19:00:00,0.98,1892,479,1450.3,Road,Fog,54.3,Low,0
117,2023-01-05 20:00:00,0.65,3711,78,146.3,Road,Fog,68.7,Medium,0
118,2023-01-05 21:00:00,0.69,4346,259,1006.9,Sea,Rain,42.4,High,0
119,2023-01-05 22:00:00,0.86,3496,153,274.0,Sea,Storm,14.7,Medium,1
120,2023-01-05 23:00:00,0.65,3339,290,534.2,Air,Fog,10.9,Medium,1
121,2023-01-06 00:00:00,0.69,2831,196,1598.5,Rail,Storm,30.6,Medium,1
122,2023-01-06 01:00:00,0.83,2427,80,62.6,Sea,Fog,46.4,Low,1
123,2023-01-06 02:00:00,0.67,1721,371,666.1,Air,Rain,42.2,Low,0
124,2023-01-06 03:00:00,0.91,1286,489,1561.7,Road,Storm,2.7,Medium,1
125,2023-01-06 04:00:00,0.94,2726,2,1791.3,Rail,Storm,30.1,High,0
126,2023-01-06 05:00:00,0.61,4848,38,46.3,Road,Storm,7.7,Medium,0
127,2023-01-06 06:00:00,0.81,3338,150,1605.3,Air,Fog,62.6,Low,0
128,2023-01-06 07:00:00,0.92,2693,239,1364.0,Rail,Storm,1.6,High,0
129,2023-01-06 08:00:00,0.99,1061,257,1590.0,Rail,Clear,60.9,High,1
130,2023-01-06 09:00:00,0.71,3501,185,861.1,Rail,Storm,66.9,High,0
131,2023-01-06 10:00:00,0.67,2435,270,378.5,Air,Clear,1.8,Low,1
132,2023-01-06 11:00:00,0.95,4994,252,80.2,Sea,Storm,63.6,Low,0
133,2023-01-06 12:00:00,0.96,1517,128,565.2,Rail,Clear,43.9,High,1
134,2023-01-06 13:00:00,0.68,2335,146,1658.7,Road,Storm,70.3,Medium,0
135,2023-01-06 14:00:00,0.78,1183,483,1486.9,Road,Rain,40.4,High,0
136,2023-01-06 15:00:00,0.89,4562,68,1725.4,Rail,Storm,13.3,Medium,1
137,2023-01-06 16:00:00,0.94,1246,109,401.6,Rail,Clear,49.0,Medium,0
138,2023-01-06 17:00:00,0.67,2072,67,319.3,Air,Fog,8.9,Medium,0
139,2023-01-06 18:00:00,0.87,4417,290,1283.9,Sea,Rain,69.1,Medium,0
140,2023-01-06 19:00:00,0.92,4530,49,476.7,Sea,Storm,45.8,High,0
141,2023-01-06 20:00:00,0.82,2330,490,1580.9,Road,Storm,26.9,High,0
142,2023-01-06 21:00:00,0.67,2811,474,679.1,Sea,Clear,3.1,High,0
143,2023-01-06 22:00:00,0.61,4816,146,1164.4,Rail,Rain,28.4,Low,1
144,2023-01-06 23:00:00,0.71,1448,67,1820.9,Road,Storm,16.2,High,1
145,2023-01-07 00:00:00,0.92,4547,89,1177.7,Air,Rain,12.4,Low,0
146,2023-01-07 01:00:00,0.62,2101,201,1575.9,Rail,Rain,15.6,Medium,1
147,2023-01-07 02:00:00,0.6,1515,40,323.1,Sea,Fog,22.2,Medium,1
148,2023-01-07 03:00:00,0.74,4723,250,532.5,Air,Fog,51.7,High,0
149,2023-01-07 04:00:00,0.63,1300,431,1289.9,Air,Storm,3.1,Low,0
150,2023-01-07 05:00:00,0.66,2228,453,476.7,Air,Rain,15.5,Low,0
151,2023-01-07 06:00:00,0.61,2645,16,113.6,Road,Clear,30.2,Medium,0
152,2023-01-07 07:00:00,0.81,4942,29,1113.9,Road,Storm,48.0,High,0
153,2023-01-07 08:00:00,0.88,4403,315,1308.8,Sea,Fog,13.2,High,0
154,2023-01-07 09:00:00,0.77,4674,133,1188.0,Rail,Fog,35.9,Low,0
155,2023-01-07 10:00:00,0.65,2032,365,1001.8,Sea,Storm,24.8,Low,1
156,2023-01-07 11:00:00,0.73,1451,25,8.8,Air,Rain,66.0,High,0
157,2023-01-07 12:00:00,0.84,148,482,945.3,Rail,Rain,54.1,High,0
158,2023-01-07 13:00:00,0.98,1916,109,1513.1,Air,Clear,56.4,High,0
159,2023-01-07 14:00:00,1.0,2390,472,1906.7,Road,Rain,17.1,Medium,0
160,2023-01-07 15:00:00,0.7,760,393,5.8,Rail,Rain,39.5,Medium,0
161,2023-01-07 16:00:00,0.6,3643,312,1747.4,Road,Rain,45.5,Medium,0
162,2023-01-07 17:00:00,0.93,276,259,1199.5,Air,Storm,17.7,Low,0
163,2023-01-07 18:00:00,0.97,1336,251,1844.2,Road,Rain,44.8,Low,0
164,2023-01-07 19:00:00,0.78,4055,143,1028.0,Air,Rain,47.1,Medium,1
165,2023-01-07 20:00:00,0.91,2490,91,964.5,Air,Fog,36.8,High,0
166,2023-01-07 21:00:00,0.95,4732,208,1977.6,Sea,Fog,56.7,High,1
167,2023-01-07 22:00:00,0.84,2576,46,1461.1,Road,Fog,16.9,High,0
168,2023-01-07 23:00:00,0.95,3539,50,1264.1,Rail,Storm,43.9,Low,0
169,2023-01-08 00:00:00,0.61,3444,208,211.8,Rail,Rain,34.5,Medium,0
170,2023-01-08 01:00:00,0.71,2055,225,557.7,Sea,Clear,36.1,Medium,1
171,2023-01-08 02:00:00,0.71,934,175,204.2,Rail,Clear,43.9,Medium,0
172,2023-01-08 03:00:00,0.65,819,103,987.0,Air,Fog,40.2,Low,0
173,2023-01-08 04:00:00,0.96,3854,349,377.1,Rail,Fog,23.4,High,0
174,2023-01-08 05:00:00,0.61,3491,281,282.3,Air,Rain,24.8,Low,0
175,2023-01-08 06:00:00,0.87,553,334,308.5,Air,Clear,43.5,Medium,0
176,2023-01-08 07:00:00,0.63,4134,455,785.3,Sea,Fog,27.1,High,1
177,2023-01-08 08:00:00,0.74,1918,401,946.1,Sea,Fog,71.5,Low,0
178,2023-01-08 09:00:00,0.77,914,210,849.4,Air,Fog,14.2,Medium,0
179,2023-01-08 10:00:00,0.67,518,133,462.2,Road,Clear,55.0,Low,1
180,2023-01-08 11:00:00,0.81,4485,344,572.2,Road,Rain,61.2,High,0
181,2023-01-08 12:00:00,0.81,2439,490,1490.3,Air,Rain,38.9,Low,0
182,2023-01-08 13:00:00,0.73,3565,157,682.6,Road,Clear,58.9,Low,0
183,2023-01-08 14:00:00,0.89,4907,291,1128.0,Sea,Storm,19.7,High,0
184,2023-01-08 15:00:00,0.66,4566,323,1015.7,Rail,Fog,55.8,High,0
185,2023-01-08 16:00:00,0.68,3653,79,1297.4,Road,Storm,57.6,Low,0
186,2023-01-08 17:00:00,0.74,2879,475,1225.7,Air,Storm,25.9,Low,0
187,2023-01-08 18:00:00,0.75,2464,430,398.7,Rail,Rain,63.8,Medium,0
188,2023-01-08 19:00:00,0.68,4486,280,250.3,Road,Fog,34.1,High,0
189,2023-01-08 20:00:00,0.97,2153,62,1232.1,Rail,Clear,30.7,Low,0
190,2023-01-08 21:00:00,0.93,3624,168,1040.0,Rail,Fog,70.6,High,0
191,2023-01-08 22:00:00,0.64,1336,468,1063.9,Air,Storm,64.8,Medium,1
192,2023-01-08 23:00:00,0.75,291,109,1078.8,Air,Rain,62.3,Low,0
193,2023-01-09 00:00:00,0.69,4091,337,245.7,Sea,Rain,33.5,High,0
194,2023-01-09 01:00:00,0.78,2372,111,1660.4,Air,Storm,22.7,Low,1
195,2023-01-09 02:00:00,0.71,2867,192,1901.4,Air,Fog,41.9,Low,1
196,2023-01-09 03:00:00,0.8,3422,422,1334.6,Road,Rain,13.7,High,0
197,2023-01-09 04:00:00,0.97,3238,348,1552.4,Road,Fog,16.8,High,0
198,2023-01-09 05:00:00,0.75,1338,360,1052.8,Road,Fog,1.8,High,0
199,2023-01-09 06:00:00,0.86,2369,279,1039.6,Sea,Fog,47.1,High,1
200,2023-01-09 07:00:00,0.84,2756,55,625.3,Rail,Storm,13.0,Medium,0
201,2023-01-09 08:00:00,0.9,2406,250,1634.8,Road,Clear,55.0,Medium,0
202,2023-01-09 09:00:00,0.62,600,281,27.8,Air,Rain,19.1,Low,0
203,2023-01-09 10:00:00,0.9,2848,238,1066.4,Road,Fog,66.2,Low,0
204,2023-01-09 11:00:00,0.98,1857,467,1749.7,Air,Rain,56.1,Medium,0
205,2023-01-09 12:00:00,0.84,1432,169,1867.3,Air,Fog,44.9,Medium,0
206,2023-01-09 13:00:00,0.72,3912,268,1339.0,Rail,Rain,20.5,Medium,0
207,2023-01-09 14:00:00,0.87,121,301,1174.6,Air,Rain,12.5,Low,0
208,2023-01-09 15:00:00,0.88,2405,27,1987.8,Rail,Storm,8.3,Medium,0
209,2023-01-09 16:00:00,0.86,4803,434,134.1,Rail,Fog,48.0,High,1
210,2023-01-09 17:00:00,0.66,4588,169,504.2,Road,Rain,43.9,High,0
211,2023-01-09 18:00:00,0.99,3028,465,908.5,Road,Clear,11.7,High,0
212,2023-01-09 19:00:00,0.98,4975,193,895.2,Air,Rain,49.0,Low,0
213,2023-01-09 20:00:00,0.77,283,146,1707.5,Road,Rain,61.0,High,1
214,2023-01-09 21:00:00,0.84,2025,31,1308.1,Air,Clear,67.0,Low,0
215,2023-01-09 22:00:00,0.62,72,1,337.7,Air,Fog,65.2,Medium,1
216,2023-01-09 23:00:00,1.0,4021,68,1186.5,Rail,Fog,71.9,Low,0
217,2023-01-10 00:00:00,0.93,200,215,1663.4,Rail,Storm,5.2,High,0
218,2023-01-10 01:00:00,0.85,4956,363,104.1,Road,Rain,66.1,High,0
219,2023-01-10 02:00:00,0.9,1534,187,155.2,Road,Fog,45.4,Low,0
220,2023-01-10 03:00:00,0.68,239,345,1100.1,Sea,Storm,14.5,High,0
221,2023-01-10 04:00:00,0.72,4321,45,986.6,Sea,Clear,3.5,Low,0
222,2023-01-10 05:00:00,0.7,4354,326,1766.5,Sea,Rain,24.9,Medium,0
223,2023-01-10 06:00:00,0.84,1681,491,147.9,Air,Fog,9.3,Medium,0
224,2023-01-10 07:00:00,0.64,2238,139,326.2,Air,Rain,72.0,High,0
225,2023-01-10 08:00:00,0.96,968,364,87.1,Air,Clear,48.3,High,1
226,2023-01-10 09:00:00,0.78,3790,133,827.1,Road,Rain,68.1,Medium,0
227,2023-01-10 10:00:00,0.78,2549,195,1992.8,Road,Clear,24.6,Medium,1
228,2023-01-10 11:00:00,0.64,2096,30,124.7,Road,Fog,16.3,High,0
229,2023-01-10 12:00:00,0.87,2916,293,719.3,Rail,Rain,18.5,High,0
230,2023-01-10 13:00:00,0.93,3938,311,80.0,Air,Fog,39.6,Low,0
231,2023-01-10 14:00:00,0.85,3647,466,678.7,Road,Clear,22.9,High,0
232,2023-01-10 15:00:00,0.7,4465,386,1459.3,Air,Clear,12.6,Medium,0
233,2023-01-10 16:00:00,0.91,70,272,257.5,Sea,Clear,35.4,High,0
234,2023-01-10 17:00:00,0.66,4438,378,212.2,Rail,Rain,34.7,Medium,0
235,2023-01-10 18:00:00,0.93,1770,426,144.4,Sea,Storm,59.2,Medium,1
236,2023-01-10 19:00:00,0.83,240,271,1844.0,Rail,Storm,42.3,Medium,1
237,2023-01-10 20:00:00,0.72,4100,384,588.0,Road,Rain,8.8,Medium,1
238,2023-01-10 21:00:00,0.81,4914,363,1949.3,Rail,Clear,37.1,Medium,0
239,2023-01-10 22:00:00,0.85,2630,165,670.0,Sea,Rain,64.3,Low,1
240,2023-01-10 23:00:00,0.7,429,261,98.9,Sea,Fog,44.5,High,0
241,2023-01-11 00:00:00,0.94,4296,59,1944.8,Rail,Storm,12.7,High,0
242,2023-01-11 01:00:00,0.77,518,447,1751.7,Rail,Rain,57.1,Low,1
243,2023-01-11 02:00:00,0.96,2832,175,813.9,Rail,Fog,20.2,Low,0
244,2023-01-11 03:00:00,0.93,2596,256,1052.2,Rail,Fog,23.6,Low,0
245,2023-01-11 04:00:00,0.64,548,263,370.8,Sea,Fog,17.6,High,0
246,2023-01-11 05:00:00,0.86,2992,225,12.0,Air,Fog,59.2,Medium,0
247,2023-01-11 06:00:00,0.72,1579,325,1141.2,Air,Fog,54.8,Low,0
248,2023-01-11 07:00:00,0.9,336,20,1993.5,Air,Clear,43.3,Medium,0
249,2023-01-11 08:00:00,0.82,774,194,988.3,Air,Fog,13.3,High,0
250,2023-01-11 09:00:00,0.78,4720,478,218.7,Road,Rain,37.0,High,0
251,2023-01-11 10:00:00,0.96,4472,330,1693.1,Rail,Storm,57.3,Low,1
252,2023-01-11 11:00:00,0.62,3642,224,43.2,Air,Rain,70.7,Low,0
253,2023-01-11 12:00:00,0.82,941,290,731.5,Road,Clear,63.4,Low,0
254,2023-01-11 13:00:00,0.73,574,419,219.8,Sea,Storm,37.3,Medium,1
255,2023-01-11 14:00:00,0.61,3296,28,1603.7,Road,Storm,52.0,Medium,0
256,2023-01-11 15:00:00,0.9,4021,341,534.6,Air,Rain,14.1,High,0
257,2023-01-11 16:00:00,0.82,3926,207,627.6,Rail,Rain,56.5,High,1
258,2023-01-11 17:00:00,0.96,4571,377,373.5,Air,Storm,38.6,High,1
259,2023-01-11 18:00:00,0.84,3468,180,1436.1,Rail,Fog,71.7,Low,0
260,2023-01-11 19:00:00,0.73,870,121,226.0,Sea,Storm,40.4,Low,1
261,2023-01-11 20:00:00,0.99,2086,344,1693.8,Air,Clear,69.0,Medium,0
262,2023-01-11 21:00:00,0.65,3467,346,1110.0,Rail,Rain,42.2,High,1
263,2023-01-11 22:00:00,0.62,334,492,307.9,Air,Clear,20.1,Low,0
264,2023-01-11 23:00:00,0.89,3527,268,1468.3,Air,Fog,41.2,Medium,0
265,2023-01-12 00:00:00,0.75,4176,266,351.5,Road,Fog,51.4,Medium,0
266,2023-01-12 01:00:00,0.74,2543,24,421.4,Air,Fog,3.0,High,1
267,2023-01-12 02:00:00,0.95,2953,132,1103.7,Sea,Clear,60.7,Low,1
268,2023-01-12 03:00:00,0.73,2780,468,1798.5,Sea,Fog,50.6,Medium,0
269,2023-01-12 04:00:00,0.96,2295,156,1669.3,Air,Storm,21.1,Medium,0
270,2023-01-12 05:00:00,0.86,4294,383,1394.1,Rail,Clear,27.8,High,0
271,2023-01-12 06:00:00,0.73,1532,280,84.2,Road,Rain,58.6,Medium,0
272,2023-01-12 07:00:00,0.62,1590,42,1002.1,Road,Fog,42.6,High,1
273,2023-01-12 08:00:00,0.7,2647,1,1218.5,Road,Clear,4.2,Medium,0
274,2023-01-12 09:00:00,0.99,1525,462,1923.2,Sea,Clear,19.4,Low,0
275,2023-01-12 10:00:00,0.76,3190,342,262.7,Road,Clear,49.2,Low,0
276,2023-01-12 11:00:00,0.66,1416,7,1170.5,Rail,Storm,55.3,Low,1
277,2023-01-12 12:00:00,0.72,2006,367,1941.8,Road,Fog,1.9,Low,0
278,2023-01-12 13:00:00,0.96,1683,22,1062.0,Road,Storm,40.9,Medium,0
279,2023-01-12 14:00:00,0.67,3115,125,991.1,Road,Rain,28.6,Medium,0
280,2023-01-12 15:00:00,0.91,2503,471,509.8,Rail,Clear,5.5,Low,0
281,2023-01-12 16:00:00,0.65,3874,18,1098.2,Rail,Clear,67.4,High,0
282,2023-01-12 17:00:00,0.98,2949,241,1285.4,Rail,Clear,16.5,Low,0
283,2023-01-12 18:00:00,0.81,59,63,1642.3,Sea,Storm,12.3,High,0
284,2023-01-12 19:00:00,0.62,1023,251,1072.5,Rail,Rain,3.8,High,1
285,2023-01-12 20:00:00,0.97,3462,390,224.5,Sea,Clear,61.5,Low,0
286,2023-01-12 21:00:00,0.74,315,132,1282.5,Rail,Rain,20.5,Low,1
287,2023-01-12 22:00:00,0.89,2706,67,566.8,Air,Rain,31.9,Low,1
288,2023-01-12 23:00:00,0.81,497,10,1871.7,Rail,Rain,15.9,Low,0
289,2023-01-13 00:00:00,0.64,2288,249,421.6,Sea,Fog,35.0,Medium,0
290,2023-01-13 01:00:00,0.64,4108,414,1747.7,Rail,Rain,58.0,Medium,0
291,2023-01-13 02:00:00,0.66,2945,316,1057.8,Rail,Rain,50.0,Low,0
292,2023-01-13 03:00:00,0.66,3907,268,436.7,Air,Fog,66.6,Medium,0
293,2023-01-13 04:00:00,0.62,2653,319,1309.1,Road,Storm,45.7,Low,1
294,2023-01-13 05:00:00,0.62,3983,193,1657.1,Air,Rain,44.5,Low,0
295,2023-01-13 06:00:00,0.98,126,194,312.6,Sea,Fog,2.5,High,0
296,2023-01-13 07:00:00,0.64,2271,401,256.8,Rail,Storm,61.7,Medium,0
297,2023-01-13 08:00:00,0.8,2687,447,1709.1,Sea,Fog,29.8,Low,0
298,2023-01-13 09:00:00,0.65,2459,73,214.1,Sea,Clear,71.8,High,1
299,2023-01-13 10:00:00,0.69,3246,181,1623.9,Sea,Rain,57.5,High,0
300,2023-01-13 11:00:00,0.91,3382,216,1848.9,Rail,Storm,67.1,High,0
301,2023-01-13 12:00:00,0.98,2676,118,927.5,Sea,Clear,12.5,High,0
302,2023-01-13 13:00:00,0.79,4222,54,1333.3,Sea,Clear,62.1,Medium,1
303,2023-01-13 14:00:00,0.6,172,89,321.6,Air,Clear,7.3,Low,0
304,2023-01-13 15:00:00,1.0,120,1,853.5,Rail,Rain,5.1,High,1
305,2023-01-13 16:00:00,0.62,2217,373,232.3,Sea,Storm,4.9,High,1
306,2023-01-13 17:00:00,0.76,2132,444,716.1,Sea,Clear,2.6,Medium,0
307,2023-01-13 18:00:00,0.82,4794,372,1975.0,Sea,Fog,33.6,High,0
308,2023-01-13 19:00:00,0.96,712,492,943.7,Road,Clear,49.7,Medium,0
309,2023-01-13 20:00:00,0.93,1066,493,1035.8,Road,Fog,63.3,Low,0
